Volume_L,Washcoat_g_per_L,CeO2_fraction,Efficiency_eta,OSC
0.86,120.0,0.2,0.65,5235.2586
0.8755555555555555,128.88888888888889,0.21666666666666667,0.6611111111111111,6421.937759701264
0.8911111111111111,137.77777777777777,0.23333333333333334,0.6722222222222223,7786.623604587714
0.9066666666666666,146.66666666666666,0.25,0.6833333333333333,9345.789037037037
0.9222222222222222,155.55555555555554,0.26666666666666666,0.6944444444444444,11116.794314891018
0.9377777777777778,164.44444444444446,0.2833333333333333,0.7055555555555556,13117.908739612867
0.9533333333333334,173.33333333333334,0.3,0.7166666666666667,15368.332344444447
0.9688888888888889,182.22222222222223,0.31666666666666665,0.7277777777777777,17888.217582563637
0.9844444444444445,191.11111111111111,0.3333333333333333,0.7388888888888889,20698.69101524158
1.0,200.0,0.35,0.75,23821.875
